step,index,strand,chr,splice site locus,usage estimate
8,e1,+,4,83352066,0.999999
8,e2,+,4,83369174,0.999999
8,e3,+,4,83372398,0.999999
8,e4,+,4,83376007,0.999999
8,e5,+,4,83378191,0.999999
8,e6,+,4,83382208,1e-06
8,e7,+,4,83382240,1e-06
9,s0,+,4,83351715,0.2771976411114038
9,s1,+,4,83351801,0.1501671464101799
9,s2,+,4,83351815,0.21435966749036436
9,s3,+,4,83369073,0.9711999902740122
9,s4,+,4,83372196,0.954179713439199
9,s5,+,4,83375875,0.9991896636830988
9,s6,+,4,83378068,0.9933314306989447
9,s7,+,4,83381134,0.9833872617815088
9,e0,+,4,83352037,0.08172796263864565
9,e1,+,4,83352066,0.999999
9,e2,+,4,83369174,0.999999
9,e3,+,4,83372398,0.999999
9,e4,+,4,83376007,0.999999
9,e5,+,4,83378191,0.999999
9,e6,+,4,83382208,1e-06
9,e7,+,4,83382240,1e-06
10,s0,+,4,83351715,0.28018288791044504
10,s1,+,4,83351801,0.15016133946816956
10,s2,+,4,83351815,0.21475192344315222
10,s3,+,4,83369073,0.9685180562949173
10,s4,+,4,83372196,0.9553086898732129
10,s5,+,4,83375875,0.9983131479471775
10,s6,+,4,83378068,0.9942415996208521
10,s7,+,4,83381134,0.9749021557677191
10,e0,+,4,83352037,0.0713877784123358
10,e1,+,4,83352066,0.999999
10,e2,+,4,83369174,0.999999
10,e3,+,4,83372398,0.999999
10,e4,+,4,83376007,0.999999
10,e5,+,4,83378191,0.999999
10,e6,+,4,83382208,1e-06
10,e7,+,4,83382240,1e-06
