step,index,strand,chr,splice site locus,usage estimate
9,e2,+,4,83369174,0.999999
9,e3,+,4,83372398,0.999999
9,e4,+,4,83376007,0.999999
9,e5,+,4,83378191,0.999999
9,e6,+,4,83382208,1e-06
9,e7,+,4,83382240,1e-06
10,s0,+,4,83351715,0.40859572077424655
10,s1,+,4,83351801,0.0025918480147740165
10,s2,+,4,83351815,0.1845626978592455
10,s3,+,4,83369073,0.9998565686313169
10,s4,+,4,83372196,0.8757249712852199
10,s5,+,4,83375875,0.9989308844026379
10,s6,+,4,83378068,0.6192628822952663
10,s7,+,4,83381134,0.8625505179216322
10,e0,+,4,83352037,0.11353211009174312
10,e1,+,4,83352066,0.999999
10,e2,+,4,83369174,0.999999
10,e3,+,4,83372398,0.999999
10,e4,+,4,83376007,0.999999
10,e5,+,4,83378191,0.999999
10,e6,+,4,83382208,1e-06
10,e7,+,4,83382240,1e-06
